0.549, 0.103, 0.016, 0.832, 0.564, 0.004, 1
0.471, 0.211, 0.143, 0.499, 0.507, 0.019, 1
0.737, 0.207, 0.000, 0.496, 0.51, 0.050, 1
0.636, 0.207, 0.000, 0.32, 0.528, 0.098, 1 
0.833, 0.110, 0.000, 0.485, 0.511, 0.103, 1 
0.549, 0.133, 0.000, 0.501, 0.488, 0.142, 1 
0.562, 0.210, 0.486, 0.543, 0.481, 0.030, 1 
0.535, 0.081, 0.000, 0.58, 0.574, 0.000, 1  
0.976, 0.191, 0.210, 0.5, 0.315, 0.107, 1 
0.444, 0.135, 0.000, 0.466, 0.542, 0.041, 1   
0.511, 0.165, 0.123, 0.49, 0.441, 0.027, 1  
0.800, 0.178, 0.000, 0.51, 0.507, 0.063, 1 
0.474, 0.102, 0.022, 0.488, 0.514, 0.060, 1  
0.618, 0.166, 0.000, 0.515, 0.519, 0.152, 1 
0.839, 0.097, 0.000, 0.501, 0.523, 0.030, 1  
0.390, 0.108, 0.059, 0.56, 0.521, 0.028, 1 
1.231, 0.219, 0.367, 0.508, 0.508, 0.230, 1 
0.750, 0.167, 0.171, 0.498, 0.51, 0.053, 1   
1.400, 0.346, 0.933, 0.562, 0.502, 0.016, 1  
2.100, 0.376, 0.342, 0.504, 0.509, 0.386, 1 
1.133, 0.227, 0.533, 0.503, 0.484, 0.104, 1   
0.600, 0.293, 0.486, 0.502, 0.502, 0.226, 1   
1.000, 0.625, 0.494, 0.459, 0.517, 0.556, 1  
1.333, 0.438, 0.333, 0.512, 0.519, 0.357, 1  
0.714, 0.089, 0.000, 0.496, 0.488, 0.093, 1  
0.286, 0.294, 0.307, 0.497, 0.519, 0.094, 1  
0.640, 0.111, 0.000, 0.503, 0.522, 0.075, 1  
0.486, 0.123, 0.000, 0.486, 0.507, 0.118, 1  
0.389, 0.135, 0.407, 0.478, 0.519, 0.045, 1  
0.415, 0.133, 0.025, 0.503, 0.422, 0.078, 1 
0.460, 0.114, 0.016, 0.52, 0.456, 0.020, 1  
1.333, 0.333, 0.254, 0.506, 0.485, 0.214, 1  
0.380, 0.147, 0.000, 0.582, 0.555, 0.013, 1 
0.439, 0.145, 0.000, 0.49, 0.531, 0.012, 1  
0.423, 0.144, 0.160, 0.489, 0.509, 0.023, 1  
0.750, 0.438, 1.000, 0.437, 0.517, 0.118, 1 
0.444, 0.234, 0.333, 0.525, 0.512, 0.099, 1   
0.755, 0.109, 0.101, 0.495, 0.52, 0.022, 1  
0.714, 0.188, 0.079, 0.505, 0.477, 0.000, 1  
1.857, 0.128, 0.325, 0.501, 0.469, 0.030, 1 
0.663, 0.090, 0.089, 0.509, 0.535, 0.053, 1 
0.519, 0.142, 0.299, 0.507, 0.52, 0.200, 1  
0.482, 0.242, 0.000, 0.463, 0.532, 0.116, 1 
0.553, 0.139, 0.089, 0.498, 0.519, 0.154, 1  
0.571, 0.184, 0.074, 0.498, 0.405, 0.035, 1   
0.932, 0.124, 0.074, 0.512, 0.515, 0.022, 1  
0.383, 0.084, 0.036, 0.494, 0.529, 0.012, 1   
0.691, 0.182, 0.313, 0.311, 0.407, 0.015, 1  
1.333, 0.500, 0.381, 0.497, 0.498, 0.429, 1    
9.600, 0.118, 0.106, 0.285, 0.017, 0.036, 0  
0.833, 0.342, 0.287, 0.297, 0.153, 0.231, 0  
0.900, 0.589, 0.535, 0.342, 0.017, 0.545, 0  
1.000, 0.641, 0.506, 0.486, 0.338, 0.556, 0    
1.143, 0.688, 1.000, 0.552, 0.051, 0.556, 0  
2.060, 0.094, 0.487, 0.627, 0.904, 0.000, 0  
1.167, 0.452, 0.388, 0.687, 0.1, 0.286, 0  
1.730, 0.015, 0.000, 0.279, 0.041, 0.023, 0  
1.000, 0.640, 0.529, 0.342, 0.017, 0.500, 0  
1.000, 0.605, 0.593, 0.487, 0.347, 0.400, 0    
1.143, 0.692, 1.000, 0.552, 0.051, 0.556, 0  
1.469, 0.116, 0.429, 0.644, 0.926, 0.030, 0  
1.098, 0.187, 0.316, 0.179, 0.869, 0.067, 0  
1.345, 0.046, 0.360, 0.209, 0.758, 0.036, 0  
2.000, 0.375, 0.297, 0.216, 0.293, 0.214, 0  
11.750, 0.113, 0.099, 0.322, 0.016, 0.104, 0  
