0.549, 0.103, 0.016, 1  
0.471, 0.211, 0.143, 1
0.737, 0.207, 0.000, 1
0.636, 0.207, 0.000, 1 
0.833, 0.110, 0.000, 1 
0.549, 0.133, 0.000, 1 
0.562, 0.210, 0.486, 1 
0.535, 0.081, 0.000, 1  
0.976, 0.191, 0.210, 1 
0.444, 0.135, 0.000, 1   
0.511, 0.165, 0.123, 1  
0.800, 0.178, 0.000, 1 
0.474, 0.102, 0.022, 1  
0.618, 0.166, 0.000, 1 
0.839, 0.097, 0.000, 1  
0.390, 0.108, 0.059, 1 
1.231, 0.219, 0.367, 1 
0.750, 0.167, 0.171, 1   
1.400, 0.346, 0.933, 1  
2.100, 0.376, 0.342, 1  
1.133, 0.227, 0.533, 1   
0.600, 0.293, 0.486, 1   
1.000, 0.625, 0.494, 1  
1.333, 0.438, 0.333, 1  
0.714, 0.089, 0.000, 1  
0.286, 0.294, 0.307, 1  
0.640, 0.111, 0.000, 1  
0.486, 0.123, 0.000, 1  
0.389, 0.135, 0.407, 1  
0.415, 0.133, 0.025, 1 
0.460, 0.114, 0.016, 1  
1.333, 0.333, 0.254, 1  
0.380, 0.147, 0.000, 1 
0.439, 0.145, 0.000, 1  
0.423, 0.144, 0.160, 1  
0.750, 0.438, 1.000, 1 
0.444, 0.234, 0.333, 1   
0.755, 0.109, 0.101, 1  
0.714, 0.188, 0.079, 1  
1.857, 0.128, 0.325, 1 
0.663, 0.090, 0.089, 1 
0.519, 0.142, 0.299, 1  
0.482, 0.242, 0.000, 1 
0.553, 0.139, 0.089, 1  
0.571, 0.184, 0.074, 1   
0.932, 0.124, 0.074, 1  
0.383, 0.084, 0.036, 1   
0.691, 0.182, 0.313, 1  
1.333, 0.500, 0.381, 1    
9.600, 0.118, 0.106, 0  
0.833, 0.342, 0.287, 0  
0.900, 0.589, 0.535, 0  
1.000, 0.641, 0.506, 0    
1.143, 0.688, 1.000, 0  
2.060, 0.094, 0.487, 0  
1.167, 0.452, 0.388, 0  
1.730, 0.015, 0.000, 0  
1.000, 0.640, 0.529, 0  
1.000, 0.605, 0.593, 0    
1.143, 0.692, 1.000, 0  
1.469, 0.116, 0.429, 0  
1.098, 0.187, 0.316, 0  
1.345, 0.046, 0.360, 0  
2.000, 0.375, 0.297, 0  
11.750, 0.113, 0.099, 0  
1.071, 0.619, 1.000, 0  
2.098, 0.151, 0.006, 0  
2.341, 0.178, 0.405, 0  
11.750, 0.102, 0.090, 0   
1.309, 0.041, 0.000, 0  
1.667, 0.683, 0.532, 0  
4.000, 0.457, 0.394, 0  
1.071, 0.657, 1.000, 0  
3.775, 0.121, 0.036, 0  
2.100, 0.187, 0.000, 0  
1.857, 0.090, 0.000, 0  
9.800, 0.095, 0.085, 0  
1.000, 0.500, 0.395, 0   
1.143, 0.683, 1.000, 0  
2.636, 0.277, 0.615, 0  
1.804, 0.071, 0.268, 0  
5.654, 0.102, 0.032, 0  
1.111, 0.433, 0.384, 0   
1.071, 0.619, 1.000, 0  
2.500, 0.378, 0.324, 0  
1.508, 0.092, 0.304, 0  
5.267, 0.048, 0.000, 0  
0.875, 0.500, 0.429, 0  
1.000, 0.531, 0.531, 0  
9.400, 0.118, 0.106, 0  
1.111, 0.589, 0.535, 0  
0.625, 0.562, 0.481, 0   
1.071, 0.662, 1.000, 0  
0.375, 0.615, 0.496, 0  
4.000, 0.138, 0.067, 0  
0.968, 0.203, 0.347, 0  
2.000, 0.163, 0.000, 0  
5.161, 0.055, 0.000, 0  
1.000, 0.490, 0.405, 0  
0.857, 0.500, 0.429, 0  
9.800, 0.127, 0.114, 0  
